"material_no","material_desc_rus","l3_product_category_code","l3_product_category_name"
70148900,"Product description 0001","191116","Category 01"
70163200,"Product description 0002","191123","Category 02"
70168300,"Product description 0003","191123","Category 02"
70168500,"Product description 0004","191123","Category 02"
70168600,"Product description 0005","191123","Category 02"
70173600,"Product description 0006","191123","Category 02"
70211500,"Product description 0007","191123","Category 02"
70240300,"Product description 0008","191123","Category 02"
70339600,"Product description 0009","191119","Category 03"
75980001,"Product description 0010","191123","Category 02"
75980008,"Product description 0011","191110","Category 04"
75980009,"Product description 0012","191110","Category 04"
75980053,"Product description 0013","191020","Category 05"
75980070,"Product description 0014","191110","Category 04"
75980071,"Product description 0015","191110","Category 04"
75980189,"Product description 0016","191110","Category 04"
75980232,"Product description 0017","191110","Category 04"
75980290,"Product description 0018","191110","Category 04"
75980622,"Product description 0019","211323","Category 02"
75980639,"Product description 0020","211310","Category 04"
75980651,"Product description 0021","211323","Category 02"
75980666,"Product description 0022","211310","Category 04"
75980713,"Product description 0023","191110","Category 04"
75980716,"Product description 0024","191110","Category 04"
76003544,"Product description 0025","191111","Category 06"
76003612,"Product description 0026","191111","Category 06"
76004237,"Product description 0027","191110","Category 04"
76004241,"Product description 0028","191110","Category 04"
76004242,"Product description 0029","191110","Category 04"
76004372,"Product description 0030","191110","Category 04"
76004559,"Product description 0031","191110","Category 04"
76004630,"Product description 0032","191110","Category 04"
76004633,"Product description 0033","191013","Category 07"
76004708,"Product description 0034","191025","Category 08"
76004944,"Product description 0035","191025","Category 08"
76005083,"Product description 0036","191110","Category 04"
76005496,"Product description 0037","191110","Category 04"
76005510,"Product description 0038","191110","Category 04"
76005621,"Product description 0039","191110","Category 04"
76005809,"Product description 0040","191110","Category 04"
76005890,"Product description 0041","191110","Category 04"
76005894,"Product description 0042","191013","Category 07"
76005895,"Product description 0043","191013","Category 07"
76005900,"Product description 0044","191110","Category 04"
76005902,"Product description 0045","191110","Category 04"
76006142,"Product description 0046","191110","Category 04"
76006321,"Product description 0047","191110","Category 04"
76006365,"Product description 0048","191110","Category 04"
76006422,"Product description 0049","191110","Category 04"
